Days_since_100,Total_cases
0.0,216
1.0,235
2.0,386
3.0,526
4.0,623
5.0,882
6.0,1323
7.0,1988
8.0,2775
9.0,4528
10.0,5994
11.0,7734
12.0,9714
13.0,11809
14.0,14399
15.0,17211
16.0,20448
17.0,24320
18.0,28047
19.0,31207
20.0,34625
21.0,37232
22.0,40206
23.0,42696
24.0,44724
25.0,59865
26.0,64021
27.0,66559
28.0,68566
29.0,70618
30.0,72508
31.0,74258
32.0,74652
33.0,75543
34.0,76369
35.0,77016
36.0,77234
37.0,77749
38.0,78159
39.0,78598
40.0,78927
41.0,79355
42.0,79929
43.0,80134
44.0,80261
45.0,80380
46.0,80497
47.0,80667
48.0,80768
49.0,80814
50.0,80859
51.0,80879
52.0,80908
53.0,80932
54.0,80954
55.0,80973
56.0,80995
57.0,81020
58.0,81130
59.0,81163
60.0,81238
61.0,81337
62.0,81416
63.0,81499
64.0,81649
65.0,81748
66.0,81847
