Country,Travel Ban/border lockdown,Dates,National emergency declared,Dates,Public transportation shutdown,Dates,School closures,Dates,Work closures/stay at home orders,Dates,"Closure of non-essentials (stores, resto, cine, etc)",Dates,Mass Quarantine of sick,Date,"Internal Lockdown/curfew.quarantine of geographic area (city, state, region, province,etc.)",Date,Door to door health checks,Date,building and street sterilization,Date,Mass test and treat,Date
China,1,2020-01-23,1,2020-01-21,1,2020-01-23,1,2019-12-31,1,2020-01-23,1,2020-01-23,1,2020-01-24,1,2020-10-23,1,2020-02-06,1,2020-01-31,1,2020-01-24
Japan,1,2020-03-09,1,2020-02-28,0,,1,2020-02-27,0.2,2020-02-24,0.5,2020-02-24,0,,0,,0,,1,2020-03-21,0,
South Korea,1,2020-03-23,0,,0,,0,,0,,0,,0,,0,,0,,1,2020-02-27,1,2020-02-07
United Kingdom,1,2020-03-17,0,,0,,1,2020-03-20,1,2020-03-23,1,2020-03-20,0,,1,2020-03-23,0,,1,2020-03-25,0,
United States,1,2020-01-31,1.00,2020-03-13,0,,1.00,2020-03-11,1,2020-03-20,1,2020-03-13,0,,0,,0,,1,2020-03-19,0,
Italy,1,2020-03-23,1,2020-01-31,0,,1,2020-03-04,1,2020-03-23,1,2020-03-10,1,2020-03-08,1,2020-02-23,0,,1,2020-02-26,0,
Iran,1,2020-03-25,0,2020-03-27,0,,1,2020-02-23,0,,1,2020-02-27,0,,0,,0,,1,2020-02-27,0,
Germany,1,2020-03-15,1,2020-03-16,0,,1,2020-03-13,1,2020-03-09,1,2020-03-20,0,,0,,0,,0,,0,
Algeria,1,2020-03-19,0,,0,,1,2020-03-12,0,,1,2020-03-17,0,,1,2020-03-27,0,,0,,0,
Egypt,1,2020-03-19,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Burkina Faso,1,2020-03-20,1,2020-03-27,0,,1,2020-03-16,0,,1,2020-03-25,0,,1,2020-03-21,0,,0,,0,
South Africa,1,2020-03-20,1,2020-03-15,0,,1,2020-03-16,1,2020-03-26,0,,0,,1,2020-03-26,0,,0,,0,
Brazil,1,2020-03-19,0,,0,,0,,0,,0,,0,,1,2020-03-21,0,,1,2020-03-25,0,
Chile,1,2020-03-18,1,2020-03-18,0,,1,2020-03-16,1,2020-03-24,0,,1,2020-03-25,1,2020-03-25,0,,0,,0,
Australia,1,2020-03-19,0,,0,,0,,0,,1,2020-03-23,0,,0,,0,,1,2020-03-25,0,
