Country,GrowthRate1,GrowthRate2,DayOfChange
Afghanistan,0,0,0
Albania,0,0,0
Algeria,0,0,0
Andorra,0,0,0
Angola,0,0,0
Antigua and Barbuda,0,0,0
Argentina,0.096894,0,0
Armenia,0.050951,0,0
Australia,0.093516,0,0
Austria,0.11055,0,15.935
Azerbaijan,0,0,0
Bahamas,0,0,0
Bahrain,0.033003,0,0
Bangladesh,0,0,0
Barbados,0,0,0
Belarus,0,0,0
Belgium,0.089716,0,20.192
Belize,0,0,0
Benin,0,0,0
Bermuda,0,0,0
Bhutan,0,0,0
Bolivia,0,0,0
Bosnia and Herzegovina,0,0,0
Brazil,0.13343,0,0
Brunei,0,0,0
Bulgaria,0.072738,0,0
Burkina Faso,0,0,0
Cambodia,0,0,0
Cameroon,0,0,0
Canada,0.10208,0,0
Cape Verde,0,0,0
Cayman Islands,0,0,0
Central African Republic,0,0,0
Chad,0,0,0
Chile,0.1001,0,0
China,0.11434,0.003935,21.304
Colombia,0,0,0
Congo,0,0,0
Costa Rica,0,0,0
Cote d'Ivoire,0,0,0
Croatia,0.12081,0,0
Cuba,0,0,0
Cyprus,0,0,0
Czech Republic,0.095774,0,0
Democratic Republic of Congo,0,0,0
Denmark,0.057272,0,0
Djibouti,0,0,0
Dominica,0,0,0
Dominican Republic,0,0,0
Ecuador,0.16463,0,0
Egypt,0.0597,0,0
El Salvador,0,0,0
Equatorial Guinea,0,0,0
Eritrea,0,0,0
Estonia,0.045562,0,0
Ethiopia,0,0,0
Faeroe Islands,0,0,0
Fiji,0,0,0
Finland,0.059798,0,0
France,0.10152,0,23.629
French Polynesia,0,0,0
Gabon,0,0,0
Gambia,0,0,0
Georgia,0,0,0
Germany,0.10808,0,22.639
Ghana,0,0,0
Gibraltar,0,0,0
Greece,0.057269,0,0
Greenland,0,0,0
Grenada,0,0,0
Guam,0,0,0
Guatemala,0,0,0
Guernsey,0,0,0
Guinea,0,0,0
Guyana,0,0,0
Haiti,0,0,0
Honduras,0,0,0
Hungary,0,0,0
Iceland,0.070294,0,0
India,0.090949,0,0
Indonesia,0.093656,0,0
International,0.071853,0.026876,5.4155
Iran,0.10938,0.02694,17.351
Iraq,0.041736,0,0
Ireland,0.10662,0,0
Isle of Man,0,0,0
Israel,0.10281,0,0
Italy,0.089606,0,28.275
Jamaica,0,0,0
Japan,0.038206,0.0199,22.576
Jersey,0,0,0
Jordan,0,0,0
Kazakhstan,0,0,0
Kenya,0,0,0
Kosovo,0,0,0
Kuwait,0.029809,0,0
Kyrgyzstan,0,0,0
Laos,0,0,0
Latvia,0,0,0
Lebanon,0.05667,0,0
Liberia,0,0,0
Libya,0,0,0
Liechtenstein,0,0,0
Lithuania,0,0,0
Luxembourg,0.13698,0,0
Macedonia,0,0,0
Madagascar,0,0,0
Malaysia,0.088562,0,0
Maldives,0,0,0
Malta,0,0,0
Mauritania,0,0,0
Mauritius,0,0,0
Mexico,0.097447,0,0
Moldova,0,0,0
Monaco,0,0,0
Mongolia,0,0,0
Montenegro,0,0,0
Montserrat,0,0,0
Morocco,0,0,0
Mozambique,0,0,0
Myanmar,0,0,0
Namibia,0,0,0
Nepal,0,0,0
Netherlands,0.089727,0,18.88
Netherlands Antilles,0,0,0
New Caledonia,0,0,0
New Zealand,0,0,0
Nicaragua,0,0,0
Niger,0,0,0
Nigeria,0,0,0
Norway,0.10476,0.044741,11.965
Oman,0,0,0
Pakistan,0.10537,0,0
Palestine,0,0,0
Panama,0.10476,0,0
Papua New Guinea,0,0,0
Paraguay,0,0,0
Peru,0.08984,0,0
Philippines,0.067109,0,0
Poland,0.096406,0,0
Portugal,0.12367,0,0
Qatar,0.021997,0,0
Romania,0.071536,0,0
Russia,0.10317,0,0
Rwanda,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,0
San Marino,0.034877,0,0
Saudi Arabia,0.093479,0,0
Senegal,0,0,0
Serbia,0.063579,0,0
Seychelles,0,0,0
Singapore,0.030735,0,0
Slovakia,0.054393,0,0
Slovenia,0.045184,0,0
Somalia,0,0,0
South Africa,0.10149,0,0
South Korea,0.13066,0.010558,10.566
Spain,0.1269,0,20.285
Sri Lanka,0,0,0
Sudan,0,0,0
Suriname,0,0,0
Swaziland,0,0,0
Sweden,0.10032,0.040457,10.726
Switzerland,0.096216,0,19.135
Syria,0,0,0
Taiwan,0.053988,0,0
Tanzania,0,0,0
Thailand,0.11078,0,0
Timor,0,0,0
Togo,0,0,0
Trinidad and Tobago,0,0,0
Tunisia,0,0,0
Turkey,0.17937,0,0
Turks and Caicos Islands,0,0,0
Uganda,0,0,0
Ukraine,0,0,0
United Arab Emirates,0.036877,0,0
United Kingdom,0.098858,0,18.396
United States,0.12646,0,23.831
United States Virgin Islands,0,0,0
Uruguay,0,0,0
Uzbekistan,0,0,0
Vatican,0,0,0
Venezuela,0,0,0
Vietnam,0,0,0
World,0.036931,0,0
Zambia,0,0,0
Zimbabwe,0,0,0
