date,covid 19,corona,coronavirus,isPartial
2020-01-03,0,0,0,False
2020-01-04,0,0,0,False
2020-01-05,0,0,0,False
2020-01-06,0,0,0,False
2020-01-07,0,0,0,False
2020-01-08,0,0,0,False
2020-01-09,0,0,0,False
2020-01-10,0,0,0,False
2020-01-11,0,0,0,False
2020-01-12,0,0,0,False
2020-01-13,0,0,0,False
2020-01-14,0,0,0,False
2020-01-15,0,0,0,False
2020-01-16,0,0,0,False
2020-01-17,0,0,0,False
2020-01-18,0,0,0,False
2020-01-19,0,0,0,False
2020-01-20,0,0,0,False
2020-01-21,0,0,1,False
2020-01-22,0,0,2,False
2020-01-23,0,1,4,False
2020-01-24,0,1,5,False
2020-01-25,0,1,5,False
2020-01-26,0,1,6,False
2020-01-27,0,1,6,False
2020-01-28,0,1,7,False
2020-01-29,0,2,7,False
2020-01-30,0,2,11,False
2020-01-31,0,4,17,False
2020-02-01,0,2,8,False
2020-02-02,0,2,7,False
2020-02-03,0,1,6,False
2020-02-04,0,1,5,False
2020-02-05,0,1,5,False
2020-02-06,0,2,6,False
2020-02-07,0,1,6,False
2020-02-08,0,1,6,False
2020-02-09,0,1,6,False
2020-02-10,0,2,9,False
2020-02-11,0,2,8,False
2020-02-12,0,2,7,False
2020-02-13,0,2,8,False
2020-02-14,0,2,6,False
2020-02-15,0,1,4,False
2020-02-16,0,1,4,False
2020-02-17,0,1,4,False
2020-02-18,0,1,3,False
2020-02-19,0,1,3,False
2020-02-20,0,1,3,False
2020-02-21,0,1,3,False
2020-02-22,0,1,3,False
2020-02-23,0,1,6,False
2020-02-24,0,2,9,False
2020-02-25,0,4,16,False
2020-02-26,0,5,21,False
2020-02-27,0,4,19,False
2020-02-28,1,5,21,False
2020-02-29,0,4,15,False
2020-03-01,1,4,19,False
2020-03-02,1,6,25,False
2020-03-03,1,6,27,False
2020-03-04,1,8,32,False
2020-03-05,1,8,35,False
2020-03-06,1,7,31,False
2020-03-07,1,6,27,False
2020-03-08,1,7,33,False
2020-03-09,2,9,42,False
2020-03-10,2,11,49,False
2020-03-11,3,13,57,False
2020-03-12,4,20,90,False
2020-03-13,5,18,80,False
2020-03-14,5,18,81,False
2020-03-15,6,19,87,False
2020-03-16,8,22,100,False
2020-03-17,9,22,93,False
2020-03-18,8,20,86,False
2020-03-19,8,18,76,False
2020-03-20,8,17,71,False
2020-03-21,8,17,71,False
2020-03-22,10,19,80,False
2020-03-23,11,18,78,False
2020-03-24,10,15,66,False
