Country,GrowthRate1,GrowthRate2,DayOfChange
Afghanistan,0.071871,0,.5g
Albania,0.039608,0,.5g
Algeria,0.064753,0,.5g
Andorra,0.052944,0,.5g
Angola,0,0,0
Antigua and Barbuda,0,0,0
Argentina,0.070441,0,.5g
Armenia,0.051942,0,.5g
Australia,0.092462,0.033741,.5g
Austria,0.10446,0.029618,.5g
Azerbaijan,0.0721,0,.5g
Bahamas,0,0,0
Bahrain,0.027228,0,.5g
Bangladesh,0,0,0
Barbados,0,0,0
Belarus,0,0,0
Belgium,0.084335,0,.5g
Belize,0,0,0
Benin,0,0,0
Bhutan,0,0,0
Bolivia,0,0,0
Bosnia and Herzegovina,0.058704,0,.5g
Botswana,0,0,0
Brazil,0.092928,0,.5g
Brunei,0.011753,0,.5g
Bulgaria,0.039463,0,.5g
Burkina Faso,0.043849,0,.5g
Burma,0,0,0
Burundi,0,0,0
Cabo Verde,0,0,0
Cambodia,0.0065154,0,.5g
Cameroon,0.090975,0,.5g
Canada,0.097003,0,.5g
Central African Republic,0,0,0
Chad,0,0,0
Chile,0.088034,0,.5g
China,0.11314,0.0032395,.5g
Colombia,0.071701,0,.5g
Congo (Brazzaville),0,0,0
Congo (Kinshasa),0,0,0
Costa Rica,0.044416,0,.5g
Cote d'Ivoire,0.051238,0,.5g
Croatia,0.067476,0,.5g
Cuba,0.058516,0,.5g
Cyprus,0.049915,0,.5g
Czechia,0.0826,0,.5g
Denmark,0.038582,0,.5g
Diamond Princess,0.064198,0.0021396,.5g
Djibouti,0,0,0
Dominica,0,0,0
Dominican Republic,0.084695,0,.5g
Ecuador,0.088568,0,.5g
Egypt,0.047412,0,.5g
El Salvador,0,0,0
Equatorial Guinea,0,0,0
Eritrea,0,0,0
Estonia,0.041616,0,.5g
Eswatini,0,0,0
Ethiopia,0,0,0
Fiji,0,0,0
Finland,0.057796,0.026283,.5g
France,0.085642,0,.5g
Gabon,0,0,0
Gambia,0,0,0
Georgia,0,0,0
Germany,0.10261,0.033199,.5g
Ghana,0.026938,0,.5g
Greece,0.042237,0,.5g
Grenada,0,0,0
Guatemala,0,0,0
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana,0,0,0
Haiti,0,0,0
Holy See,0,0,0
Honduras,0.069062,0,.5g
Hungary,0.061453,0,.5g
Iceland,0.067036,0.029032,.5g
India,0.073498,0,.5g
Indonesia,0.07766,0,.5g
Iran,0.057195,0,.5g
Iraq,0.046724,0,.5g
Ireland,0.098047,0,.5g
Israel,0.10034,0,.5g
Italy,0.087113,0.024401,.5g
Jamaica,0,0,0
Japan,0.030634,0,.5g
Jordan,0.037582,0,.5g
Kazakhstan,0.080112,0,.5g
Kenya,0,0,0
"Korea, South",0.13725,0.007255,.5g
Kosovo,0,0,0
Kuwait,0.024952,0,.5g
Kyrgyzstan,0,0,0
Laos,0,0,0
Latvia,0.048741,0,.5g
Lebanon,0.051222,0.021553,.5g
Liberia,0,0,0
Libya,0,0,0
Liechtenstein,0,0,0
Lithuania,0.057924,0,.5g
Luxembourg,0.11944,0.031756,.5g
MS Zaandam,0,0,0
Madagascar,0,0,0
Malawi,0,0,0
Malaysia,0.085756,0.028217,.5g
Maldives,0,0,0
Mali,0,0,0
Malta,0.025139,0,.5g
Mauritania,0,0,0
Mauritius,0.047911,0,.5g
Mexico,0.074158,0,.5g
Moldova,0.064949,0,.5g
Monaco,0,0,0
Mongolia,0,0,0
Montenegro,0,0,0
Morocco,0.074467,0,.5g
Mozambique,0,0,0
Namibia,0,0,0
Nepal,0,0,0
Netherlands,0.083392,0,.5g
New Zealand,0.087049,0,.5g
Nicaragua,0,0,0
Niger,0,0,0
Nigeria,0.056227,0,.5g
North Macedonia,0.046622,0,.5g
Norway,0.073451,0.02446,.5g
Oman,0.043364,0,.5g
Pakistan,0.070256,0,.5g
Panama,0.075683,0,.5g
Papua New Guinea,0,0,0
Paraguay,0,0,0
Peru,0.062353,0,.5g
Philippines,0.073818,0,.5g
Poland,0.079654,0,.5g
Portugal,0.10614,0,.5g
Qatar,0.020286,0,.5g
Romania,0.080462,0,.5g
Russia,0.090662,0,.5g
Rwanda,0,0,0
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,0
San Marino,0,0.019473,.5g
Saudi Arabia,0.088492,0.039219,.5g
Senegal,0.039791,0,.5g
Serbia,0.074041,0,.5g
Seychelles,0,0,0
Sierra Leone,0,0,0
Singapore,0.033998,0,.5g
Slovakia,0.03807,0,.5g
Slovenia,0.040614,0,.5g
Somalia,0,0,0
South Africa,0.10807,0.032499,.5g
Spain,0.11078,0,.5g
Sri Lanka,0.021043,0,.5g
Sudan,0,0,0
Suriname,0,0,0
Sweden,0.055528,0,.5g
Switzerland,0.099593,0.029215,.5g
Syria,0,0,0
Taiwan*,0.033187,0,.5g
Tanzania,0,0,0
Thailand,0.091926,0.03694,.5g
Timor-Leste,0,0,0
Togo,0,0,0
Trinidad and Tobago,0,0,0
Tunisia,0.061198,0,.5g
Turkey,0.13524,0,.5g
US,0.1218,0,.5g
Uganda,0,0,0
Ukraine,0.096869,0,.5g
United Arab Emirates,0.064192,0,.5g
United Kingdom,0.089319,0,.5g
Uruguay,0.040135,0,.5g
Uzbekistan,0.052397,0,.5g
Venezuela,0.021353,0,.5g
Vietnam,0.02859,0,.5g
West Bank and Gaza,0.040145,0,.5g
Zambia,0,0,0
Zimbabwe,0,0,0
